# generated by: gensig.py chirp -a 0.3 -o sig_chirp_500_8k.csv --f0 500 --f1 8000
# date: 2026-04-03T17:17:13
# signal: 500–8000 Hz log chirp
# samples: 4096
# fs: 48828.0
# amplitude: 0.3
time_s,speaker
6.184975833538134023e-03,1.255741979042956369e-01
6.205455885967068284e-03,1.036922746567060377e-01
6.225935938396002546e-03,8.114875372081323257e-02
6.246415990824936808e-03,5.808312465656113865e-02
6.266896043253871069e-03,3.463861705148162801e-02
6.287376095682805331e-03,1.096132001317257250e-02
6.307856148111739593e-03,-1.280072168849057286e-02
6.328336200540672987e-03,-3.649842930643568129e-02
6.348816252969607249e-03,-5.998262394469005415e-02
6.369296305398541511e-03,-8.310496671849691708e-02
6.389776357827475772e-03,-1.057188993437411934e-01
6.410256410256410034e-03,-1.276805791980814009e-01
6.430736462685344296e-03,-1.488498028790087024e-01
6.451216515114278557e-03,-1.690909123044840867e-01
6.471696567543212819e-03,-1.882736774603912255e-01
6.492176619972147081e-03,-2.062741499962809366e-01
6.512656672401081343e-03,-2.229754820058696407e-01
6.533136724830015604e-03,-2.382687045015641769e-01
6.553616777258949866e-03,-2.520534603021783449e-01
6.574096829687884128e-03,-2.642386862988239105e-01
6.594576882116818389e-03,-2.747432403447924720e-01
6.615056934545752651e-03,-2.834964683295718157e-01
6.635536986974686913e-03,-2.904387073432627697e-01
6.656017039403621174e-03,-2.955217212138128713e-01
6.676497091832555436e-03,-2.987090651035332334e-01
6.696977144261489698e-03,-2.999763762809342649e-01
6.717457196690423959e-03,-2.993115886366481404e-01
6.737937249119357354e-03,-2.967150689852906531e-01
6.758417301548291616e-03,-2.921996736857698229e-01
6.778897353977225877e-03,-2.857907246177798788e-01
6.799377406406160139e-03,-2.775259040688363710e-01
6.819857458835094401e-03,-2.674550686110240272e-01
6.840337511264028662e-03,-2.556399825762759592e-01
6.860817563692962924e-03,-2.421539722699806163e-01
6.881297616121897186e-03,-2.270815025917625740e-01
6.901777668550831447e-03,-2.105176782556330839e-01
6.922257720979765709e-03,-1.925676723159750192e-01
6.942737773408699971e-03,-1.733460852076077197e-01
6.963217825837634233e-03,-1.529762379938252870e-01
6.983697878266568494e-03,-1.315894039825497019e-01
7.004177930695502756e-03,-1.093239833140767503e-01
7.024657983124437018e-03,-8.632462554164262170e-02
7.045138035553371279e-03,-6.274130561425962649e-02
7.065618087982305541e-03,-3.872835902791450097e-02
7.086098140411239803e-03,-1.444348223298284363e-02
7.106578192840174064e-03,9.953295329667287417e-03
7.127058245269107459e-03,3.430066094654527636e-02
7.147538297698041720e-03,5.843708328255210749e-02
7.168018350126975982e-03,8.220188498469878369e-02
7.188498402555910244e-03,1.054363161432414070e-01
7.208978454984844506e-03,1.279846214466964505e-01
7.229458507413778767e-03,1.496950938461295288e-01
7.249938559842713029e-03,1.704211075714226198e-01
7.270418612271647291e-03,1.900221234175327456e-01
7.290898664700581552e-03,2.083646593429196725e-01
7.311378717129515814e-03,2.253232195944487037e-01
7.331858769558450076e-03,2.407811757930639063e-01
7.352338821987384337e-03,2.546315936807119762e-01
7.372818874416318599e-03,2.667779995411781457e-01
7.393298926845252861e-03,2.771350806628408714e-01
7.413778979274187123e-03,2.856293146090829183e-01
7.434259031703121384e-03,2.921995224991407736e-01
7.454739084132055646e-03,2.967973419764851628e-01
7.475219136560989908e-03,2.993876160504059802e-01
7.495699188989924169e-03,2.999486945363206702e-01
7.516179241418858431e-03,2.984726453879630315e-01
7.536659293847791825e-03,2.949653738066886910e-01
7.557139346276726087e-03,2.894466476256223886e-01
7.577619398705660349e-03,2.819500280954881921e-01
7.598099451134594610e-03,2.725227058404585678e-01
7.618579503563528872e-03,2.612252424019645969e-01
7.639059555992463134e-03,2.481312184418008604e-01
7.659539608421397396e-03,2.333267903284225731e-01
7.680019660850331657e-03,2.169101574777343722e-01
7.700499713279265919e-03,1.989909434571533187e-01
7.720979765708200181e-03,1.796894944849121434e-01
7.741459818137134442e-03,1.591360995608187279e-01
7.761939870566068704e-03,1.374701370458452088e-01
7.782419922995002966e-03,1.148391530611599237e-01
7.802899975423937227e-03,9.139787759894818508e-02
7.823380027852870622e-03,6.730718472316461753e-02
7.843860080281804883e-03,4.273300368467436439e-02
7.864340132710739145e-03,1.784518817798357374e-02
7.884820185139673407e-03,-7.183648676360124968e-03
7.905300237568607669e-03,-3.217932573305661709e-02
7.925780289997541930e-03,-5.696730346150086916e-02
7.946260342426476192e-03,-8.137390347813140690e-02
7.966740394855410454e-03,-1.052275294831194058e-01
7.987220447284344715e-03,-1.283598810280301983e-01
8.007700499713278977e-03,-1.506071515162140939e-01
8.028180552142213239e-03,-1.718112018727820933e-01
8.048660604571147500e-03,-1.918207014178576753e-01
8.069140657000081762e-03,-2.104922276339150633e-01
8.089620709429016024e-03,-2.276913167363150969e-01
8.110100761857950286e-03,-2.432934572338294466e-01
8.130580814286884547e-03,-2.571850190021894855e-01
8.151060866715818809e-03,-2.692641107868034567e-01
8.171540919144753071e-03,-2.794413594981262072e-01
8.192020971573687332e-03,-2.876406051629061267e-01
8.212501024002621594e-03,-2.937995059429546751e-01
8.232981076431555856e-03,-2.978700482273313743e-01
8.253461128860490117e-03,-2.998189574398814061e-01
8.273941181289424379e-03,-2.996280058779810518e-01
8.294421233718358641e-03,-2.972942146055531087e-01
8.314901286147292903e-03,-2.928299471593443504e-01
8.335381338576227164e-03,-2.862628935870055180e-01
8.355861391005161426e-03,-2.776359441135189954e-01
8.376341443434095688e-03,-2.670069525235495567e-01
8.396821495863029949e-03,-2.544483901456777164e-01
8.417301548291964211e-03,-2.400468921246936005e-01
8.437781600720898473e-03,-2.239026984640620499e-01
8.458261653149832734e-03,-2.061289931068436276e-01
8.478741705578766996e-03,-1.868511450935695650e-01
8.499221758007701258e-03,-1.662058565843182456e-01
8.519701810436635520e-03,-1.443402232534382879e-01
8.540181862865569781e-03,-1.214107132539684331e-01
8.560661915294502308e-03,-9.758207159855365742e-02
8.581141967723436570e-03,-7.302615741034552965e-02
8.601622020152370832e-03,-4.792072205511185845e-02
8.622102072581305093e-03,-2.244813667037669908e-02
8.642582125010239355e-03,3.205921945254895655e-03
8.663062177439173617e-03,2.885381773412394948e-02
8.683542229868107878e-03,5.430732440387200238e-02
8.704022282297042140e-03,7.937900715266126006e-02
8.724502334725976402e-03,1.038836069927418365e-01
8.744982387154910664e-03,1.276394174611226728e-01
8.765462439583844925e-03,1.504696434726968401e-01
8.785942492012779187e-03,1.722037321132113552e-01
8.806422544441713449e-03,1.926786652878638706e-01
8.826902596870647710e-03,2.117402043362647257e-01
8.847382649299581972e-03,2.292440769951106239e-01
8.867862701728516234e-03,2.450570974350800291e-01
8.888342754157450495e-03,2.590582105166368554e-01
8.908822806586384757e-03,2.711394518982729873e-01
8.929302859015319019e-03,2.812068161870967531e-01
8.949782911444253281e-03,2.891810259425230401e-01
8.970262963873187542e-03,2.949981950251929774e-01
8.990743016302121804e-03,2.986103805202647288e-01
9.011223068731056066e-03,2.999860182526045693e-01
9.031703121159990327e-03,2.991102377452159455e-01
9.052183173588924589e-03,2.959850533460469668e-01
9.072663226017858851e-03,2.906294291557628418e-01
9.093143278446793112e-03,2.830792163237356163e-01
9.113623330875727374e-03,2.733869622345410089e-01
9.134103383304661636e-03,2.616215920757021807e-01
9.154583435733595898e-03,2.478679642518838433e-01
9.175063488162530159e-03,2.322263020841149328e-01
9.195543540591464421e-03,2.148115051971074829e-01
9.216023593020398683e-03,1.957523449462226506e-01
9.236503645449332944e-03,1.751905491602575582e-01
9.256983697878267206e-03,1.532797823699824924e-01
9.277463750307201468e-03,1.301845285478570591e-01
9.297943802736135729e-03,1.060788841943180738e-01
9.318423855165069991e-03,8.114527036440466468e-02
9.338903907594004253e-03,5.557307292774453511e-02
9.359383960022938515e-03,2.955722099019593430e-02
9.379864012451871041e-03,3.296713969991388153e-03
9.400344064880805303e-03,-2.300689168935767664e-02
9.420824117309739565e-03,-4.915102477820789545e-02
9.441304169738673827e-03,-7.493365883540986649e-02
9.461784222167608088e-03,-1.001548769651581378e-01
9.482264274596542350e-03,-1.246184298556150122e-01
9.502744327025476612e-03,-1.481332748454906312e-01
9.523224379454410873e-03,-1.705150839246671046e-01
9.543704431883345135e-03,-1.915877086908205629e-01
